"protocol","domain_name","address","long_url","having_@_symbol","redirection_//_symbol","prefix_suffix_seperation","sub_domains","having_ip_address","shortening_service","https_token","web_traffic","domain_registration_length","dns_record","age_of_domain","statistical_report"
"https","enabil.nabilbank.com","#/login",0,0,0,0,0,0,0,0,1,0,0,0,0
"https","www.himalayanbank.com","en/",0,0,0,0,0,0,0,0,0,1,0,0,0
"https","ibanking.nbbl.com.np","#/login",0,0,0,0,0,0,0,0,0,1,0,1,0
"https","www.nbbl.com.np",,0,0,0,0,0,0,0,0,0,1,0,1,0
"https","www.netebl.com","corp/AuthenticationController?FORMSGROUP_ID__=AuthenticationFG&__START_TRAN_FLAG__=Y&__FG_BUTTONS__=LOAD&ACTION.LOAD=Y&AuthenticationFG.LOGIN_FLAG=1&BANK_ID=011",1,0,0,0,0,0,0,0,0,1,0,0,0
"https","everestbankltd.com",,0,0,0,0,0,0,0,0,0,0,0,0,0
"https","ibank.machbank.com","#/login",0,0,0,0,0,0,0,0,0,0,0,0,0
"https","www.machbank.com",,0,0,0,0,0,0,0,0,0,0,0,0,0
"https","www.laxmibank.com",,0,0,0,0,0,0,0,0,0,0,0,0,0
"https","www.kumaribank.com",,0,0,0,0,0,0,0,0,0,1,0,0,0
"https","www.nccbank.com.np",,0,0,0,0,0,0,0,0,0,1,0,1,0
"https","www.siddharthabank.com",,0,0,0,0,0,0,0,0,0,0,0,0,0
"https","www.nmb.com.np",,0,0,0,0,0,0,0,0,0,1,0,1,0
"https","merolagani.com",,0,0,0,0,0,0,0,0,0,0,0,0,0
"https","www.sharesansar.com",,0,0,0,0,0,0,0,0,0,0,0,0,0
"http","www.crestonwood.com","router.php",0,0,0,0,0,0,0,0,0,0,0,0,0
"http","rgipt.ac.in",,0,0,0,0,0,0,0,0,0,0,0,0,0
"http","www.iracing.com","tracks/gateway-motorsports-park/",1,0,0,0,0,0,0,0,0,0,0,0,0
"http","www.mutuo.it",,0,0,0,0,0,0,0,0,1,0,0,0,0
"http","vamoaestudiarmedicina.blogspot.com",,0,0,0,0,0,0,1,0,1,1,1,1,0
"https","parade.com","425836/joshwigler/the-amazing-race-host-phil-keoghan-previews-the-season-27-premiere/",1,0,0,0,0,0,0,0,0,0,0,0,0
"https","www.astrologyonline.eu","Astro_MemoNew/Profilo.asp",1,0,0,0,0,0,0,0,0,1,0,1,0
"https","www.lifewire.com","tcp-port-21-818146",0,0,0,0,0,0,0,0,0,0,0,0,0
"https","technofizi.net","top-best-mp3-downloader-app-for-android-free-music-download/",1,0,0,0,0,0,0,0,0,1,0,0,0
"https","www.missfiga.com",,0,0,0,0,0,0,0,0,0,0,0,0,0
"https","www.chiefarchitect.com",,0,0,0,0,0,0,1,0,0,0,0,0,0
"http","www.2345daohang.com",,0,0,0,0,0,0,0,0,1,0,0,0,0
"http","www.game.co.uk","en/games/nintendo-switch/nintendo-switch/",1,0,0,0,0,0,0,0,0,0,0,,0
"https","blog.hubspot.com","marketing/email-open-click-rate-benchmark",1,0,0,0,0,0,1,0,0,0,0,0,0
"http","sophie-world.com","games/port-and-starboard",0,0,0,1,0,0,0,0,0,0,0,0,0
