protocol,domain_name,address,long_url,having_@_symbol,redirection_//_symbol,prefix_suffix_seperation,sub_domains,having_ip_address,shortening_service,https_token,web_traffic,domain_registration_length,dns_record,age_of_domain,statistical_report
http,housing.blogfa.com,,0,0,0,0,0,0,0,0,1,0,0,0.0,0
http,woolyss.com,tracking-speech-synthesis.php,0,0,0,0,0,0,0,0,1,0,0,0.0,0
https,www.facebook.com,ProjectProvenance,0,0,0,0,0,0,0,0,0,0,0,0.0,0
http,www.torancenter.org,,0,0,0,0,0,0,0,0,1,1,0,0.0,0
http,netizenbuzz.blogspot.com,,0,0,0,0,0,0,1,0,0,1,1,1.0,0
https,www.gigsalad.com,Magic973,0,0,0,0,0,0,0,0,0,0,0,0.0,0
http,sevenknust.tumblr.com,,0,0,0,0,0,0,0,0,1,0,0,0.0,0
http,www.instructables.com,id/EMB979AFLQES9J3WIJ/,0,0,0,0,0,0,0,0,0,0,0,0.0,0
http,www.salarylist.com,jobs/Graphic-Designer-Salary.htm,1,0,0,0,0,0,1,0,1,0,0,0.0,0
http,www.saraniya.com,books/mahasi-sayadaw/pdf/mahasi_sayadaw-1971_to_nibbana_via_the_noble_eightfold_path.pdf,1,0,0,0,0,0,0,0,1,1,0,0.0,0
http,www.globalsecurity.org,military/agency/army/usarpac.htm,1,0,0,0,0,0,0,0,0,0,0,0.0,0
https,commons.wikimedia.org,wiki/Category:Mimosa_pudica,1,0,0,0,0,0,0,0,0,0,0,0.0,0
https,www.commbank.com.au,personal/accounts/transaction-accounts.html,1,0,0,0,0,0,0,0,0,1,0,1.0,0
http,www.thefreedictionary.com,Indianapolis,0,0,0,0,0,0,0,0,0,0,0,0.0,0
https,www.allpax.de,,0,0,0,0,0,0,0,0,1,1,0,1.0,0
http,search.kna.kw,,0,0,0,0,0,0,0,0,1,1,0,1.0,0
http,www.chutku.com.ng,,0,0,0,0,0,0,0,0,1,1,0,1.0,0
http,www.dictionary.com,browse/active-transport,0,0,0,0,0,0,0,0,0,1,0,0.0,0
http,dipyoutube.com,watch?v=HRHQvTO9GZU,0,0,0,0,0,0,0,0,1,1,0,0.0,1
http,www.encyclopedia.com,earth-and-environment/atmosphere-and-weather/atmospheric-and-space-sciences-atmosphere/ionosphere,1,0,0,0,0,0,0,0,0,0,0,0.0,0
http,www.iucnredlist.org,,0,0,0,0,0,0,0,0,1,0,0,0.0,0
https,www.rovos.com,,0,0,0,0,0,0,0,0,1,0,0,0.0,0
https,ncatlab.org,nlab/show/connected%20space,0,0,0,0,0,0,0,0,1,0,0,0.0,0
http,custommagneticshielding.magneticshield.com,,0,0,0,0,0,0,0,0,1,0,0,0.0,0
https,mymount.msj.edu,ICS/icsfs/St.pdf?target=98ddd24c-9298-45ca-a1b0-279fc046331f,1,0,0,0,0,0,0,0,1,1,0,1.0,0
http,encyclopedia.kids.net.au,page/cl/Cladistics,0,0,0,0,0,0,0,0,1,1,0,1.0,0
https,wiki.archlinux.org,index.php/File_systems,0,0,0,0,0,0,0,0,0,0,0,0.0,0
https,www.iplocation.net,subnet-calculator,0,0,0,0,0,0,0,0,0,0,0,0.0,0
http,www.consumersearch.com,color-laser-printers,0,0,0,0,0,0,0,0,0,0,0,0.0,0
http,philnoway.blogspot.com,,0,0,0,0,0,0,1,0,1,1,1,1.0,0
http,www.ultimateturkiye.com,,0,0,0,0,0,0,0,0,1,0,0,0.0,0
http,www.yourdictionary.com,font,0,0,0,0,0,0,0,0,0,0,0,0.0,0
https,applife.vn,,0,0,0,0,0,0,0,0,1,1,0,1.0,0
http,searchstorage.techtarget.com,definition/compact-disc,1,0,0,0,0,0,1,0,0,0,0,0.0,0
http,www.hbs.edu,faculty/Publication%20Files/08-017_1903b556-786c-49fb-8e95-ab9976da8b4b.pdf,1,0,0,0,0,0,0,0,0,1,0,1.0,0
https,www.pkzh.ch,pkzh/de/index.html,0,0,0,0,0,0,0,0,1,1,0,1.0,0
http,piripiriormskirk.co.uk,,0,0,0,0,0,0,0,0,1,0,0,0.0,0
http,www.healthsupplementsnutritionalguide.com,,0,0,0,0,0,0,0,0,1,0,0,0.0,0
https,thehouseweusedtolivein.blogspot.com,,0,0,0,0,0,0,1,0,1,1,1,1.0,0
http,www.dictionary.com,browse/indianapolis,0,0,0,0,0,0,0,0,0,1,0,0.0,0
http,www.linfo.org,collision.html,0,0,0,0,0,0,0,0,1,1,0,0.0,0
http,blog.beeriety.com,2010/05/20/what-is-session-beer/,1,0,0,0,0,0,0,0,1,0,0,0.0,0
https,www.ausa.org,sites/default/files/us-army-pacific-contingency-command-post.pdf,1,0,0,0,0,0,0,0,1,0,0,0.0,0
https,www.visitorscoverage.com,travel-insurance-usa-features/,1,0,0,0,0,0,0,0,0,0,0,0.0,0
https,en.wikipedia.org,wiki/Multiprotocol_Label_Switching,1,0,0,0,0,0,0,0,0,0,0,0.0,0
https,www.mrgscience.com,,0,0,0,0,0,0,0,0,1,0,0,0.0,0
https,corsodimusica.jimdo.com,,0,0,0,0,0,0,0,0,1,0,0,0.0,0
http,dictionary.sensagent.com,Computer%20font/en-en/,1,0,0,0,0,0,1,0,0,0,0,0.0,0
https,www.helloprint.nl,,0,0,0,0,0,0,0,0,1,1,0,1.0,0
https,www.musikexpress.de,,0,0,0,0,0,0,0,0,1,1,0,1.0,0
https,ataaof.edu.tr,,0,0,0,0,0,0,0,0,0,1,0,0.0,0
http,www.kobietaxl.pl,,0,0,0,0,0,0,0,0,1,0,0,0.0,0
https,www.ultra-electronics.com,,0,0,0,1,0,0,0,0,1,0,0,0.0,0
http,www.petroczigabor.hu,,0,0,0,0,0,0,0,0,1,1,0,1.0,0
https,www.oblixrestaurant.com,,0,0,0,0,0,0,1,0,1,0,0,0.0,0
https,tr-tr.facebook.com,magicofrandy,0,0,0,1,0,0,0,0,0,0,0,0.0,0
http,professorclaudineicamolesi.blogspot.com,,0,0,0,0,0,0,1,0,1,1,1,1.0,0
http,www.reliancestaffing.com,job-seekers/our-most-popular-positions/banquet-server-job-description/,1,0,0,0,0,0,0,0,1,0,0,0.0,0
http,www.slate.com,blogs/the_slatest/2017/01/12/cnn_trump_russia_and_christopher_steele_s_dossier.html,1,0,0,0,0,0,0,0,0,0,0,0.0,0
https,en.wikipedia.org,wiki/Network_topology,0,0,0,0,0,0,0,0,0,0,0,0.0,0
http,www.yourdictionary.com,gateway,0,0,0,0,0,0,0,0,0,0,0,0.0,0
https,pautmizerin.files.wordpress.com,2015/10/manual-transmission-suv-2015-canada.pdf,1,0,0,0,0,0,0,0,0,0,0,0.0,0
http,www.etoday.co.kr,news/,0,0,0,0,0,0,0,0,0,0,0,0.0,0
http,www.wikihow.com,Build-a-Bridge-with-Popsicle-Sticks,1,0,0,0,0,0,0,0,0,0,0,0.0,0
https,www.southerntennessee.com,,0,0,0,0,0,0,0,0,1,0,0,0.0,0
http,www.fifplay.com,fifa-18-nintendo-switch/,0,0,0,0,0,0,0,0,0,0,0,0.0,0
http,www.lungolivignofashion.com,,0,0,0,0,0,0,0,0,0,0,0,0.0,0
http,www.developershome.com,sms/smsWindows.asp,0,0,0,0,0,0,0,0,1,0,0,0.0,0
http,www.elperiscopio.cl,,0,0,0,0,0,0,0,0,1,0,0,0.0,0
http,www.urbandictionary.com,define.php?term=session%20beer,1,0,0,0,0,0,0,0,0,0,0,0.0,0
https,syonyk.blogspot.com,,0,0,0,0,0,0,1,0,1,1,1,1.0,0
https,twitter.com,cbsthismorning,0,0,0,0,0,0,0,0,0,0,0,0.0,0
